filename,call_id,call_type,date,time,duration_seconds,agent_name,sentiment,issue_resolved,issue_category,sale_completed,product_category,customer_id,agent_id,language,call_quality,handle_time_efficient,follow_up_required
call_000001.json,1,retention,2025-08-24,12:51:02,44.5,Mike,positive,True,retention,N/A,N/A,CUST80284,AGENT3045,English,poor,yes,no
call_000002.json,2,general,2025-11-01,11:58:36,45.6,Robert,negative,True,technical_support,N/A,N/A,CUST37869,AGENT9179,English,poor,no,yes
call_000003.json,3,billing,2025-09-12,08:46:56,43.8,Jennifer,positive,True,service_quality,N/A,N/A,CUST75612,AGENT3927,English,excellent,no,yes
call_000004.json,4,sales,2025-11-01,13:01:37,49.6,Robert,positive,N/A,complaint,True,Add-on Service,CUST40161,AGENT4608,English,excellent,yes,yes
call_000005.json,5,sales,2025-10-31,15:51:55,43.9,Mike,positive,N/A,complaint,False,Bundles,CUST22833,AGENT1828,English,excellent,yes,yes
call_000006.json,6,sales,2025-08-29,11:37:38,41.5,Emily,neutral,N/A,connectivity,False,Mobile Plan,CUST91183,AGENT2343,English,poor,no,no
call_000007.json,7,sales,2025-08-31,10:17:18,48.1,Robert,positive,N/A,inquiry,False,TV Package,CUST37607,AGENT6617,English,good,no,no
call_000008.json,8,billing,2025-10-21,11:55:10,44.5,Sarah,positive,True,device,N/A,N/A,CUST64040,AGENT1406,English,good,no,no
call_000009.json,9,general,2025-09-30,14:38:32,42.0,David,neutral,False,billing,N/A,N/A,CUST60488,AGENT4114,English,fair,yes,no
call_000010.json,10,support,2025-10-04,16:42:40,45.1,David,neutral,True,inquiry,N/A,N/A,CUST53933,AGENT2530,English,good,no,yes
call_000011.json,11,general,2025-09-06,14:53:58,44.7,David,positive,False,complaint,N/A,N/A,CUST68446,AGENT3607,English,poor,no,no
call_000012.json,12,general,2025-09-17,16:47:47,43.5,David,negative,False,complaint,N/A,N/A,CUST89069,AGENT4613,English,poor,yes,no
call_000013.json,13,technical,2025-11-03,13:14:41,36.7,James,positive,False,billing,N/A,N/A,CUST95426,AGENT1659,English,excellent,yes,yes
call_000014.json,14,general,2025-08-29,08:22:34,37.7,Sarah,negative,False,sales_inquiry,N/A,N/A,CUST96706,AGENT7071,English,excellent,no,yes
call_000015.json,15,general,2025-08-12,12:35:00,43.3,Emily,neutral,False,complaint,N/A,N/A,CUST35042,AGENT2402,English,good,no,no
call_000016.json,16,account,2025-10-28,11:18:14,46.4,David,negative,False,technical_support,N/A,N/A,CUST33519,AGENT5952,English,excellent,yes,no
call_000017.json,17,support,2025-08-26,14:19:36,43.0,Sarah,negative,True,inquiry,N/A,N/A,CUST17894,AGENT2625,English,good,yes,no
call_000018.json,18,retention,2025-09-14,09:29:44,41.3,Mike,positive,False,service_quality,N/A,N/A,CUST62757,AGENT5460,English,poor,no,yes
call_000019.json,19,account,2025-08-31,08:29:05,47.8,Sarah,neutral,True,technical_support,N/A,N/A,CUST43082,AGENT6296,English,excellent,no,yes
call_000020.json,20,retention,2025-09-17,15:30:15,45.7,James,neutral,True,retention,N/A,N/A,CUST82255,AGENT3369,English,poor,yes,yes
call_000021.json,21,general,2025-11-05,10:32:37,44.6,Mike,neutral,False,technical_support,N/A,N/A,CUST23154,AGENT8213,English,excellent,no,yes
call_000022.json,22,retention,2025-11-02,12:22:23,37.8,Jennifer,neutral,True,sales_inquiry,N/A,N/A,CUST29080,AGENT5000,English,poor,yes,yes
call_000023.json,23,sales,2025-08-17,14:17:00,46.8,Mike,negative,N/A,inquiry,False,Add-on Service,CUST99889,AGENT1803,English,poor,no,yes
call_000024.json,24,account,2025-10-31,10:48:14,46.1,Robert,positive,True,sales_inquiry,N/A,N/A,CUST83048,AGENT6992,English,excellent,no,yes
call_000025.json,25,billing,2025-10-21,14:41:06,46.4,Mike,neutral,False,retention,N/A,N/A,CUST90694,AGENT7686,English,fair,yes,no
call_000026.json,26,sales,2025-11-06,10:00:22,45.0,James,neutral,N/A,account,True,Device,CUST87182,AGENT6304,English,excellent,yes,no
call_000027.json,27,support,2025-08-24,14:06:50,45.1,Jennifer,negative,False,billing,N/A,N/A,CUST95814,AGENT4522,English,poor,no,yes
call_000028.json,28,technical,2025-08-30,13:07:48,44.8,Robert,neutral,False,service_quality,N/A,N/A,CUST85248,AGENT4705,English,poor,yes,no
call_000029.json,29,support,2025-09-15,09:18:43,42.1,Jennifer,neutral,False,inquiry,N/A,N/A,CUST73783,AGENT9633,English,fair,yes,yes
call_000030.json,30,technical,2025-09-24,09:27:54,42.7,Sarah,positive,False,billing,N/A,N/A,CUST41891,AGENT8138,English,poor,yes,no
call_000031.json,31,general,2025-08-26,08:22:32,44.8,Lisa,negative,True,billing,N/A,N/A,CUST50685,AGENT8565,English,poor,yes,yes
call_000032.json,32,billing,2025-08-21,13:04:21,46.1,Lisa,positive,True,billing,N/A,N/A,CUST83133,AGENT7333,English,fair,no,yes
call_000033.json,33,billing,2025-09-01,16:02:42,39.6,Mike,negative,True,technical_support,N/A,N/A,CUST91006,AGENT3147,English,poor,yes,yes
call_000034.json,34,sales,2025-10-27,16:54:07,40.9,Jennifer,negative,N/A,service_quality,False,Bundles,CUST20993,AGENT3626,English,fair,no,yes
call_000035.json,35,general,2025-08-24,16:27:07,45.6,Emily,positive,True,service_quality,N/A,N/A,CUST41147,AGENT5934,English,excellent,yes,yes
call_000036.json,36,technical,2025-08-21,09:49:37,43.2,James,positive,True,technical_support,N/A,N/A,CUST27486,AGENT1726,English,fair,no,yes
